,,,Annual Fees in Indian Rupees,,,
S.No.,Name of the College,Courses Offered (UG - Merit Based),"UR/ OBC/ EWS/
Minority",SC,ST,PwD
,,B.Sc. (H) Computer Science,15900,15900,15900,1070
,,B.Sc. (H) Botany,16460,16460,16460,1070
,,B.Sc. (H) Zoology,16260,16260,16260,1070
,,B.Sc. (H) Chemistry,15860,15860,15860,1070
,,B.Sc. Physical Science (Computer Science),14760,14760,14760,1070
,,B.Sc. Life Science,15860,15860,15860,1070
,,B.Sc. Physical Science,15560,15560,15560,1070
16,Dyal Singh Evening College,B.A.(Hons.) English,12900,12900,12900,1110
,,B.A.(Hons.) History,12900,12900,12900,1110
,,B.A.(Hons.) Political Science,12900,12900,12900,1110
,,B.Com (Hons.),12900,12900,12900,1110
,,B.Com,12900,12900,12900,1110
,,B.A.(Prog.),12900,12900,12900,1110
17,Gargi College,B.A. (Prog.),"12295
to 13195","12295
to 13195","12295
to 13195",20
,,B.A. (Hons.) Applied Psychology,13795,13795,13795,20
,,B.A. (Hons.) Economics,13095,13095,13095,20
,,B.A. (Hons.) English,12295,12295,12295,20
,,B.A. (Hons.) Hindi,12295,12295,12295,20
,,B.A. (Hons.) History,12295,12295,12295,20
,,B.A. (Hons.) Philosophy,12295,12295,12295,20
,,B.A. (Hons.) Political Science,12295,12295,12295,20
,,B.A. (Hons.) Sanskrit,12295,12295,12295,20
,,B.Com. (Prog.),12495,12495,12495,20
,,B.Com. (Hons.),12495,12495,12495,20
,,B.Sc. (Prog.) Life Science,14045,14045,14045,20
,,B.Sc. (Prog.) Physical Science,13645,13645,13645,20
,,B.Sc. (Hons.) Botany,14045,14045,14045,20
,,B.Sc. (Hons.) Chemistry,14145,14145,14145,20
,,B.Sc. (Hons.) Microbiology,15045,15045,15045,20
,,B.Sc. (Hons.) Physics,13645,13645,13645,20
,,B.Sc. (Hons.) Zoology,14045,14045,14045,20
,,B.Sc. (Hons.) Mathematics,13095,13095,13095,20
,,B.A. (HONS) ECONOMICS,20945,20945,20945,775
,,B.A. (HONS) ENGLISH,20945,20945,20945,775
,,B.A. (HONS) HINDI,20945,20945,20945,775
,,B.A. (HONS) HISTORY,20945,20945,20945,775
18,Hansraj College,B.A. (HONS) PHILOSOPHY *,20945,20945,20945,775
,,B.A. (HONS) SANSKRIT,20945,20945,20945,775
,,B.COM. (HONS),20945,20945,20945,775
,,B.SC. LIFE SC,24515,24515,24515,775
,,B.SC. PHYSICAL SC. WITH CHEMITRY,24315,24315,24315,775
,,B.SC. PHYSICAL SC. WITH COMP. SCI.,24315,24315,24315,775
,,B.SC. (HONS) ANTHROPOLOGY,24515,24515,24515,775
,,B.SC. (HONS) BOTANY,24515,24515,24515,775
,,B.SC. (HONS) CHEMISTRY,24315,24315,24315,775
,,B.SC. (HONS) COMPUTER SC.,48735,48735,48735,775
,,B.SC. (HONS) ELECTRONICS,24515,24515,24515,775
,,B.SC. (HONS) GEOLOGY,24515,24515,24515,775
,,B.SC. (HONS) MATHEMATICS,24115,24115,24115,775
,,B.SC. (HONS) PHYSICS,24115,24115,24115,775
,,B.SC. (HONS) ZOOLOGY,24515,24515,24515,775
,,B.A. PROG. **,20545,20545,20545,775
19,Hindu College,B.A. (H) English,17560,17375,17375,225
,,B.A. (H) Hindi,17560,17375,17375,225
,,B.A. (H) Sanskrit,17560,17375,17375,225
,,B.A. (H) Economics,17560,17375,17375,225
,,B.A. (H) History,17560,17375,17375,225
,,B.A.(H) Pol. Science,17560,17375,17375,225
,,B.A. (H) Sociology,17560,17375,17375,225
,,B.A. (H) Philosophy,17560,17375,17375,225
,,B.A. (H) Music,17590,17405,17405,225
,,B.Com (H),18260,18075,18075,225
,,B.Sc.(H) Physics,20460,20275,20275,225
,,B.Sc. (H) Chemistry,20460,20275,20275,225
,,B.Sc. (H) Botany,20460,20275,20275,225
,,B.Sc. (H) Zoology,20460,20275,20275,225
,,B.Sc. (H) Mathematics,18560,18375,18375,225
,,B.Sc.(H) Statistics,19260,19075,19075,225
,,B.Sc. (PS) Chemistry,20460,20275,20275,225
,,B.Sc. (PS) Electronics,20460,20275,20275,225
20,Indraprastha College for Women,B.A.(H) Economics,24100,24100,24100,5
,,B.A.(H) English,24100,24100,24100,5
,,B.A.(H) Geography,34100,34100,34100,5
,,B.A.(H) Hindi,24100,24100,24100,5
,,B.A.(H) History,24100,24100,24100,5
,,B.A.(H) Philosophy,24100,24100,24100,5
,,B.A.(H) Political Science,24100,24100,24100,5
,,B.A.(H) Psychology,32100,32100,32100,5
,,B.A.(H) Sanskrit,24100,24100,24100,5
,,B.A.(H) Sociology,24100,24100,24100,5
,,B.COM.(Hons),28100,28100,28100,5
,,B.SC.(H) Computer Science,45600,45600,45600,5
,,B.Sc.(H) MATHEMATICS,28100,28100,28100,5
21,Institute of Home Economics,B.Sc. (Hons) Biochemistry,34750,34750,34750,505
,,B.Sc. (Hons) Microbiology,28890,28890,28890,505
,,B.Sc. (Hons) Food Tech,39995,39995,39995,505
,,B.Sc. (Hons) Home Science,28890,28890,28890,505
,,B.Sc. (Passs) Home Science,28890,28890,28890,505
22,Janki Devi Memorial College,B.A. (Prog.),14475,14475,14475,605
,,B.Com,14475,14475,14475,605
,,B.Com (Hons),15475,15475,15475,605
,,B.A. (H) Economics,14475,14475,14475,605
,,B.A. (H) English,14475,14475,14475,605
,,B.A. (H) Hindi,14475,14475,14475,605
,,B.A. (H) History,14475,14475,14475,605
,,B.Sc. (H) Mathematics,15475,15475,15475,605
,,B.A. (H) Philosophy,14475,14475,14475,605
,,B.A. (H) Pol. Science,14475,14475,14475,605
,,B.A. (H) Sanskrit,14475,14475,14475,605
,,B.A. (H) Sociology,14475,14475,14475,605
23,Jesus and Mary College,B. Com (Hons),,,,
,,B. Com Course,,,,
,,Economics Hons.,For fees kindly refer College Prospectus,,,
,,English Hons.,on College website:  jmc.ac.in,,,
,,Hindi Hons.,,,,
,,History Hons.,,,,
,,B. Sc. Mathematics Hons.,,,,
,,Political Science Hons.,,,,
,,Psychology Hons.,,,,
,,Sociology Hons.,,,,
,,B. Voc Healthcare Management,,,,
,,B.Voc Retail Management & IT,,,,
24,Kalindi College,B.A. (Hons) Economics,9197,9197,9197,105
,,B.A. (Hons) English,9197,9197,9197,105
,,B.A. (Hons) Geography,12797,12797,12797,105
,,B.A. (Hons) Hindi,9197,9197,9197,105
,,B.A. (Hons) History,9197,9197,9197,105
,,B.A. (Hons) Journalism,21747,21747,21747,105
,,B.A. (Hons) Political Science,9197,9197,9197,105
,,B.A. (Hons) Sanskrit,9197,9197,9197,105
,,B.A. Programme,9197,9197,9197,105
,,B.Com,9197,9197,9197,105
,,B.Com (Hons),11297,11297,11297,105
,,B.Sc (Hons) Botany,13297,13297,13297,105
,,B.Sc (Hons) Chemistry,13297,13297,13297,105
,,B.Sc (Hons) Computer Science,29247,29247,29247,105
,,B.Sc (Hons) Mathematics,13297,13297,13297,105
,,B.Sc (Hons) Physics,13297,13297,13297,105
,,B.Sc (Hons) Zoology,13297,13297,13297,105
,,B.Sc (Life Sciences),13297,13297,13297,105
,,B.Sc. Physical Science,12997,12997,12997,105
,,B.Voc. Web Designing,15747,15747,15747,105
,,BA (PROGRAM),9700,9700,9700,Exempted
,,B COM,9700,9700,9700,Exempted
,,B COM (HONS),13100,13100,13100,Exempted
,,BA(HONS) JOURNALISM,18700,18700,18700,Exempted
,,BA(HONS) ENGLISH,9700,9700,9700,Exempted
,,BA (HONS) HISTORY,9700,9700,9700,Exempted
25,Kamala Nehru College,BA(HONS) HINDI,9700,9700,9700,Exempted
,,BA(HONS) ECONOMICS,9700,9700,9700,Exempted
,,BA(HONS) POLITICAL SCIENCE,9700,9700,9700,Exempted
,,BA(HONS) PHILOSOPHY,9700,9700,9700,Exempted
,,BA(HONS) PSYCHOLOGY,11100,11100,11100,Exempted
,,BA(HONS) GEOGRAPHY,11600,11600,11600,Exempted
,,BSC (HONS) MATHEMATICS,10500,10500,10500,Exempted
,,BA(HONS) SANSKRIT,9700,9700,9700,Exempted
,,BA(HONS)SOCIOLOGY,9700,9700,9700,Exempted
26,Keshav Mahavidyalaya,B.Com(Hons.),9336,9156,9156,280
,,B.Sc(Hons.) Computer Science,24156,23976,23976,280
,,B.Sc(Hons.) Electronics,9336,9156,9156,280
,,B.Sc(Hons.)Mathematics,9336,9156,9156,280
,,B.Sc(Prog.)Mathematical Sciences,9336,9156,9156,280
,,B.Sc(Prog.) Physical Sciences,9336,9156,9156,280
,,B.Sc(Hons.)Physics,9336,9156,9156,280
,,B.A (Hons.) Psychology,9336,9156,9156,280
,,B.Com.(Hons),13745,13560,13560,125
,,B.COM,12345,12160,12160,125
,,Economics,12345,12160,12160,125
,,English,12345,12160,12160,125
,,Geography,13945,13760,13760,125
,,Hindi,12245,12060,12060,125
,,History,12245,12060,12060,125
,,Political Science,12245,12060,12060,125
,,Sanskrit,12245,12060,12060,125
27,Kirori Mal College,Urdu,12345,12160,12160,125
,,"Applied Science
( An. Chemistry)",14695,14510,14510,125
,,"Physical Science
( Computer as a subject)",14595,14410,14410,125
,,Physical Science,14595,14410,14410,125
,,Life Science,14795,14610,14610,125
,,Botany,14895,14710,14710,125
,,Chemistry,14695,14510,14510,125
,,Mathematics,13695,13510,13510,125
,,Physics,14295,14110,14110,125
,,Statistics,14195,14010,14010,125
,,Zoology,14895,14710,14710,125
28,Lady Irwin College,B.Sc. Pass Home Science,29645,29645,29645,29645
,,B.Sc. Hons Home Science,29645,29645,29645,29645
,,B.Sc. Hons Food Technology,29645,29645,29645,29645
29,Lady Shri Ram College for Women,B.Com(H),19870,19870,19870,1550
,,BA (H) Economics,15870,15870,15870,1550
,,BA (H) English,15870,15870,15870,1550
,,BA (H) Hindi,15870,15870,15870,1550
,,BA(H) History,15870,15870,15870,1550
,,B.Sc.(H) Mathematics,20370,20370,20370,1550
,,B.Sc (H)Statistics,20670,20670,20670,1550
,,BA(H) Philosophy,15870,15870,15870,1550
,,BA(H) Pol.Science,15870,15870,15870,1550
,,BA(H) Psychology,16970,16970,16970,1550
